fixture_id,match_date,team,player,player_key,squad_position,expected_lineup_position,expected_lineup_formation,lineup_confidence,is_expected_starter,availability_status,availability_weight,expected_starter_availability_weight,is_unavailable,is_doubtful,has_injury_report,injury_status_raw,injury_reason,report_date,expected_return_date,club,caps,goals,age,birth_date,official_squad_source,expected_lineup_source,injury_source,in_official_squad,player_match_key
760462,2026-06-24,Bosnia and Herzegovina,Arjan Malić,arjan malic,DF,RB,,1.0,True,available,1.0,1.0,False,False,False,,,,,Sturm Graz,8,0,20.0,2005-08-28,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|arjan malic
760462,2026-06-24,Bosnia and Herzegovina,Edin Džeko,edin dzeko,FW,CF-L,,1.0,True,available,1.0,1.0,False,False,False,,,,,Schalke 04,148,73,40.0,1986-03-17,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|edin dzeko
760462,2026-06-24,Bosnia and Herzegovina,Ermedin Demirović,ermedin demirovic,FW,CF-R,,1.0,True,available,1.0,1.0,False,False,False,,,,,VfB Stuttgart,40,4,28.0,1998-03-25,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|ermedin demirovic
760462,2026-06-24,Bosnia and Herzegovina,Esmir Bajraktarević,esmir bajraktarevic,FW,RM,,1.0,True,available,1.0,1.0,False,False,False,,,,,PSV Eindhoven,16,1,21.0,2005-03-10,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|esmir bajraktarevic
760462,2026-06-24,Bosnia and Herzegovina,Ivan Bašić,ivan basic,MF,CM-R,,1.0,True,available,1.0,1.0,False,False,False,,,,,Astana,17,0,24.0,2002-04-30,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|ivan basic
760462,2026-06-24,Bosnia and Herzegovina,Ivan Šunjić,ivan sunjic,MF,CM-L,,1.0,True,available,1.0,1.0,False,False,False,,,,,Pafos,11,0,29.0,1996-10-09,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|ivan sunjic
760462,2026-06-24,Bosnia and Herzegovina,Kerim Alajbegović,kerim alajbegovic,FW,LM,,1.0,True,available,1.0,1.0,False,False,False,,,,,Red Bull Salzburg,10,1,18.0,2007-09-21,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|kerim alajbegovic
760462,2026-06-24,Bosnia and Herzegovina,Nikola Katić,nikola katic,DF,CD-R,,1.0,True,available,1.0,1.0,False,False,False,,,,,Schalke 04,17,2,29.0,1996-10-10,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|nikola katic
760462,2026-06-24,Bosnia and Herzegovina,Nikola Vasilj,nikola vasilj,GK,GK,,1.0,True,available,1.0,1.0,False,False,False,,,,,FC St. Pauli,26,0,30.0,1995-12-02,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|nikola vasilj
760462,2026-06-24,Bosnia and Herzegovina,Sead Kolašinac,sead kolasinac,DF,LB,,1.0,True,available,1.0,1.0,False,False,False,,,,,Atalanta,65,0,32.0,1993-06-20,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|sead kolasinac
760462,2026-06-24,Bosnia and Herzegovina,Stjepan Radeljić,stjepan radeljic,DF,CD-L,,1.0,True,available,1.0,1.0,False,False,False,,,,,Rijeka,5,0,28.0,1997-09-05,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|stjepan radeljic
760462,2026-06-24,Bosnia and Herzegovina,Amar Dedić,amar dedic,DF,SUB,,1.0,False,available,1.0,0.0,False,False,False,,,,,Benfica,28,1,23.0,2002-08-18,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|amar dedic
760462,2026-06-24,Bosnia and Herzegovina,Amar Memić,amar memic,MF,SUB,,1.0,False,available,1.0,0.0,False,False,False,,,,,Viktoria Plzeň,13,1,25.0,2001-01-20,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|amar memic
760462,2026-06-24,Bosnia and Herzegovina,Amir Hadžiahmetović,amir hadziahmetovic,MF,SUB,,1.0,False,available,1.0,0.0,False,False,False,,,,,Hull City,36,0,29.0,1997-03-08,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|amir hadziahmetovic
760462,2026-06-24,Bosnia and Herzegovina,Armin Gigović,armin gigovic,MF,SUB,,1.0,False,available,1.0,0.0,False,False,False,,,,,Young Boys,20,1,24.0,2002-04-06,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|armin gigovic
760462,2026-06-24,Bosnia and Herzegovina,Benjamin Tahirović,benjamin tahirovic,MF,SUB,,1.0,False,available,1.0,0.0,False,False,False,,,,,Brøndby,28,2,23.0,2003-03-03,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|benjamin tahirovic
760462,2026-06-24,Bosnia and Herzegovina,Dennis Hadžikadunić,dennis hadzikadunic,DF,SUB,,1.0,False,available,1.0,0.0,False,False,False,,,,,Sampdoria,32,0,27.0,1998-07-09,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|dennis hadzikadunic
760462,2026-06-24,Bosnia and Herzegovina,Dženis Burnić,dzenis burnic,MF,SUB,,1.0,False,available,1.0,0.0,False,False,False,,,,,Karlsruher SC,20,0,28.0,1998-05-22,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|dzenis burnic
760462,2026-06-24,Bosnia and Herzegovina,Ermin Mahmić,ermin mahmic,MF,SUB,,1.0,False,available,1.0,0.0,False,False,False,,,,,Slovan Liberec,2,0,21.0,2005-03-14,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|ermin mahmic
760462,2026-06-24,Bosnia and Herzegovina,Haris Tabaković,haris tabakovic,FW,SUB,,1.0,False,available,1.0,0.0,False,False,False,,,,,Borussia Mönchengladbach,10,4,31.0,1994-06-20,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|haris tabakovic
760462,2026-06-24,Bosnia and Herzegovina,Jovo Lukić,jovo lukic,FW,SUB,,1.0,False,available,1.0,0.0,False,False,False,,,,,Universitatea Cluj,3,0,27.0,1998-11-28,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|jovo lukic
760462,2026-06-24,Bosnia and Herzegovina,Martin Zlomislić,martin zlomislic,GK,SUB,,1.0,False,available,1.0,0.0,False,False,False,,,,,Rijeka,3,0,27.0,1998-08-16,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|martin zlomislic
760462,2026-06-24,Bosnia and Herzegovina,Mladen Jurkas,mladen jurkas,GK,SUB,,1.0,False,available,1.0,0.0,False,False,False,,,,,Borac Banja Luka,0,0,18.0,2007-10-07,official_wikipedia_squads,espn_official_lineups,,True,760462|Bosnia and Herzegovina|mladen jurkas
